,time,entity,id,x,y,status
298,49,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
299,49,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
300,50,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
301,50,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
302,50,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
303,50,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
304,50,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
305,50,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
306,51,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
307,51,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
308,51,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
309,51,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
310,51,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
311,51,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
312,52,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
313,52,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
314,52,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
315,52,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
316,52,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
317,52,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
318,53,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
319,53,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
320,53,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
321,53,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
322,53,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
323,53,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
324,54,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
325,54,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
326,54,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
327,54,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
328,54,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
329,54,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
330,55,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
331,55,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
332,55,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
333,55,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
334,55,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
335,55,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
336,56,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
337,56,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
338,56,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
339,56,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
340,56,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
341,56,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
342,57,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
343,57,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
344,57,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
345,57,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
346,57,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
347,57,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
348,58,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
349,58,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
350,58,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
351,58,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
352,58,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
353,58,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
354,59,drone,0,47.15395010584846,29.051316701949485,moving_to_bus_station_for_delivery
355,59,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
356,59,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
357,59,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
358,59,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
359,59,drone,5,10.0,53.0,moving_to_bus_station_for_delivery
360,60,drone,0,44.30790021169692,28.10263340389897,moving_to_bus_station_for_delivery
361,60,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
362,60,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
363,60,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
364,60,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
365,60,drone,5,10.0,56.0,moving_to_bus_station_for_delivery
366,61,drone,0,41.46185031754538,27.153950105848455,moving_to_bus_station_for_delivery
367,61,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
368,61,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
369,61,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
370,61,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
371,61,drone,5,10.0,59.0,moving_to_bus_station_for_delivery
372,62,drone,0,38.615800423393836,26.20526680779794,moving_to_bus_station_for_delivery
373,62,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
374,62,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
375,62,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
376,62,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
377,62,drone,5,10.0,60.0,waiting_at_bus_station_for_delivery
378,63,drone,0,35.769750529242295,25.256583509747426,moving_to_bus_station_for_delivery
379,63,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
380,63,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
381,63,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
382,63,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
383,63,drone,5,10.0,60.0,waiting_at_bus_station_for_delivery
384,64,drone,0,32.92370063509075,24.307900211696914,moving_to_bus_station_for_delivery
385,64,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
386,64,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
387,64,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
388,64,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
389,64,drone,5,10.0,60.0,waiting_at_bus_station_for_delivery
390,65,drone,0,30.077650740939212,23.3592169136464,moving_to_bus_station_for_delivery
391,65,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
392,65,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
393,65,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
394,65,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
395,65,drone,5,10.0,60.0,waiting_at_bus_station_for_delivery
396,66,drone,0,27.23160084678767,22.410533615595888,moving_to_bus_station_for_delivery
397,66,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
398,66,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
399,66,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
400,66,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
401,66,drone,5,10.0,60.0,waiting_at_bus_station_for_delivery
402,67,drone,0,24.38555095263613,21.461850317545377,moving_to_bus_station_for_delivery
403,67,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
404,67,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
405,67,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
406,67,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
407,67,drone,5,10.0,60.0,waiting_at_bus_station_for_delivery
408,68,drone,0,21.53950105848459,20.513167019494862,moving_to_bus_station_for_delivery
409,68,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
410,68,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
411,68,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
412,68,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
413,68,drone,5,10.0,60.0,waiting_at_bus_station_for_delivery
414,69,drone,0,20.0,20.0,waiting_at_bus_station_for_delivery
415,69,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
416,69,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
417,69,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
418,69,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
419,69,drone,5,10.0,60.0,waiting_at_bus_station_for_delivery
420,70,drone,0,20.0,20.0,waiting_at_bus_station_for_delivery
421,70,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
422,70,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
423,70,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
424,70,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
425,70,drone,5,10.0,60.0,waiting_at_bus_station_for_delivery
426,71,drone,0,20.0,20.0,waiting_at_bus_station_for_delivery
427,71,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
428,71,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
429,71,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
430,71,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
